county,technology,columns,candidate,votes
Sarasota,Votomatic,1,McReynolds,5
Seminole,Optical,1,McReynolds,5
StJohns,Optical,1,McReynolds,2
StLucie,Optical,1,McReynolds,10
Sumter,Votomatic,1,McReynolds,0
Suwannee,Optical,2,McReynolds,0
Taylor,Optical,2,McReynolds,1
Union,Hand,2,McReynolds,0
Volusia,Optical,1,McReynolds,5
Wakulla,Datavote,1,McReynolds,1
Walton,Optical,1,McReynolds,2
Washington,Optical,1,McReynolds,0
Alachua,Optical,1,Phillips,20
Baker,Optical,1,Phillips,3
Bay,Optical,1,Phillips,18
Bradford,Optical,2,Phillips,2
Brevard,Optical,1,Phillips,72
Broward,Votomatic,1,Phillips,74
Calhoun,Optical,1,Phillips,2
Charlotte,Optical,2,Phillips,18
Citrus,Optical,1,Phillips,18
Clay,Optical,1,Phillips,6
Collier,Votomatic,1,Phillips,10
Columbia,Optical,1,Phillips,8
DeSoto,Datavote,2,Phillips,8
Dixie,Datavote,1,Phillips,3
Duval,Votomatic,2,Phillips,58
Escambia,Optical,1,Phillips,110
Flagler,Optical,1,Phillips,3
Franklin,Optical,2,Phillips,3
Gadsden,Optical,2,Phillips,7
Gilchrist,Datavote,1,Phillips,2
Glades,Datavote,1,Phillips,0
Gulf,Optical,2,Phillips,2
Hamilton,Optical,2,Phillips,7
Hardee,Datavote,1,Phillips,2
Hendry,Optical,2,Phillips,7
Hernando,Optical,1,Phillips,10
Highlands,Votomatic,1,Phillips,7
Hillsborough,Votomatic,1,Phillips,68
Holmes,Optical,1,Phillips,6
IndianRiver,Votomatic,1,Phillips,13
Jackson,Optical,2,Phillips,4
Jefferson,Datavote,1,Phillips,0
Lafayette,Optical,2,Phillips,1
Lake,Optical,1,Phillips,21
Lee,Votomatic,1,Phillips,34
Leon,Optical,1,Phillips,16
Levy,Optical,2,Phillips,10
Liberty,Optical,2,Phillips,1
Madison,Datavote,1,Phillips,1
Manatee,Optical,1,Phillips,19
Marion,Votomatic,1,Phillips,22
Martin,Lever,1,Phillips,20
MiamiDade,Votomatic,1,Phillips,69
Monroe,Optical,1,Phillips,3
Nassau,Datavote,2,Phillips,3
Okaloosa,Optical,1,Phillips,33
Okeechobee,Optical,2,Phillips,3
Orange,Optical,1,Phillips,41
Osceola,Votomatic,1,Phillips,10
PalmBeach,Votomatic,2,Phillips,190
Pasco,Votomatic,1,Phillips,16
Pinellas,Votomatic,1,Phillips,72
Polk,Optical,1,Phillips,46
Putnam,Optical,1,Phillips,10
SantaRosa,Optical,1,Phillips,43
Sarasota,Votomatic,1,Phillips,15
Seminole,Optical,1,Phillips,18
StJohns,Optical,1,Phillips,12
StLucie,Optical,1,Phillips,13
Sumter,Votomatic,1,Phillips,3
Suwannee,Optical,2,Phillips,9
Taylor,Optical,2,Phillips,8
Union,Hand,2,Phillips,1
Volusia,Optical,1,Phillips,20
Wakulla,Datavote,1,Phillips,0
Walton,Optical,1,Phillips,7
Washington,Optical,1,Phillips,9
Alachua,Optical,1,Moorehead,21
Baker,Optical,1,Moorehead,3
Bay,Optical,1,Moorehead,27
Bradford,Optical,2,Moorehead,3
Brevard,Optical,1,Moorehead,76
Broward,Votomatic,1,Moorehead,122
Calhoun,Optical,1,Moorehead,3
Charlotte,Optical,2,Moorehead,12
Citrus,Optical,1,Moorehead,28
Clay,Optical,1,Moorehead,9
Collier,Votomatic,1,Moorehead,29
Columbia,Optical,1,Moorehead,5
DeSoto,Datavote,2,Moorehead,2
Dixie,Datavote,1,Moorehead,2
Duval,Votomatic,2,Moorehead,41
Escambia,Optical,1,Moorehead,20
Flagler,Optical,1,Moorehead,12
Franklin,Optical,2,Moorehead,2
Gadsden,Optical,2,Moorehead,6
Gilchrist,Datavote,1,Moorehead,4
Glades,Datavote,1,Moorehead,1
Gulf,Optical,2,Moorehead,9
Hamilton,Optical,2,Moorehead,4
Hardee,Datavote,1,Moorehead,3
Hendry,Optical,2,Moorehead,2
